model,n_users,eval_time_sec,Precision@5,Recall@5,NDCG@5,MAP@5,HitRate@5,MRR@5,Precision@10,Recall@10,NDCG@10,MAP@10,HitRate@10,MRR@10,Precision@20,Recall@20,NDCG@20,MAP@20,HitRate@20,MRR@20,Coverage@20,experiment,train_time_sec,experiment_type,data_fraction,n_train_events
HybridRecommender,500,8.0,0.0036000000000000003,0.003678845598845599,0.0050948852279043295,0.0028799999999999997,0.018,0.0108,0.003,0.005042901959258827,0.005361134525625036,0.0025264351851851854,0.03,0.012172222222222223,0.0021000000000000003,0.006310537267040477,0.00559112667361303,0.00240827119231531,0.036,0.012605020796197266,0.0747635262958759,CF Only (baseline),20.01,component,,
HybridRecommender,500,10.22,0.004,0.00639086691086691,0.006210068595465405,0.003663333333333333,0.02,0.011300000000000001,0.0022,0.00679086691086691,0.005905787281153223,0.0033511111111111116,0.022,0.0115,0.0016,0.011526511951881079,0.006987041199273652,0.0034868704068549265,0.032,0.01212237545735998,0.07461218312523647,CF + Item Categories,10.84,component,,
HybridRecommender,500,33.81,0.0016,0.0010984848484848484,0.0016608397947263838,0.00078,0.008,0.0039,0.0016,0.0017038720538720537,0.0019382735831249003,0.0006838095238095237,0.014,0.004633333333333334,0.0014000000000000002,0.005240572390572391,0.0029264656008895617,0.0008905310960109721,0.02,0.004962091503267974,0.07635262958758986,CF + User Features,8.46,component,,
HybridRecommender,500,37.38,0.0036,0.006429023479526612,0.00705257962576969,0.004946666666666666,0.016,0.0119,0.0032,0.007362303577115469,0.007853450346615606,0.005031609977324263,0.028,0.013476984126984127,0.0024000000000000002,0.009792749200371266,0.008561991083727332,0.005124909873040125,0.036,0.014043116034292504,0.07748770336738554,CF + User + RFM,7.15,component,,
HybridRecommender,500,57.03,0.0004,0.0006666666666666666,0.00046927872602275646,0.0002222222222222222,0.002,0.0006666666666666666,0.0008,0.001653623188405797,0.0010833194583183354,0.00036746031746031743,0.008,0.0014857142857142857,0.0007000000000000001,0.002171520791269414,0.001402611048673383,0.0004607503607503608,0.012,0.0018190476190476188,0.4893681422625804,Full Hybrid,7.77,component,,
HybridRecommender,500,64.15,0.0004,0.0005,0.0007807600999842033,0.0005,0.002,0.002,0.0004,0.0007222222222222222,0.0009374571329271936,0.0005317460317460317,0.004,0.0022857142857142855,0.0005,0.0009820910973084886,0.001211188495388206,0.0005645976245976246,0.01,0.002754711954711955,0.5021566401816118,Equal (1:1:1),10.8,event_weights,,
HybridRecommender,500,55.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.00125,0.0005007122504559154,0.000125,0.004,0.0004,0.0006,0.002761111111111111,0.0011163490768644287,0.00021383155601421855,0.012,0.0008948400412796698,0.4958758986000757,Baseline (1:2:3),8.92,event_weights,,
HybridRecommender,500,54.84,0.0004,0.001,0.00047439542553859244,0.0002,0.002,0.0004,0.0004,0.0011818181818181819,0.0006069038724473705,0.00022222222222222223,0.004,0.0006222222222222223,0.0004,0.0020303030303030303,0.0009625053796936552,0.0002921717171717172,0.008,0.0009290404040404041,0.5013999243284146,Aggressive (1:3:5),8.84,event_weights,,
HybridRecommender,500,57.93,0.0004,0.0005,0.0007807600999842033,0.0005,0.002,0.002,0.0006000000000000001,0.003,0.0016085103740100361,0.0008222222222222222,0.004,0.0022222222222222222,0.0004,0.005,0.0020638508714039424,0.0009222222222222222,0.006,0.002322222222222222,0.5122209610291336,Purchase-Focused (0.5:2:5),9.4,event_weights,,
HybridRecommender,500,54.48,0.0024,0.004342417386535034,0.0028679259958731976,0.0014466666666666668,0.01,0.0026333333333333334,0.002,0.006325750719868368,0.003433914771229152,0.0014800793650793652,0.016,0.003419047619047619,0.0016,0.010444798338915985,0.004540893942753378,0.0017010556037529722,0.024,0.003974084249084249,0.15456977890437967,Temporal Split,8.19,split_strategy,,
HybridRecommender,500,50.86,0.0036,0.008633333333333333,0.0059869686964171415,0.0037666666666666664,0.018,0.007533333333333333,0.002,0.0093,0.006258272643282038,0.003833333333333334,0.02,0.007733333333333333,0.0014000000000000002,0.013033333333333333,0.0073444082669023355,0.004055833333333333,0.028,0.008216666666666667,0.1416242480333179,Random Split (Leakage),8.16,split_strategy,,
HybridRecommender,500,23.03,0.0016,0.0026708507670850767,0.0018435272282589616,0.0008499999999999998,0.008,0.002233333333333333,0.0008,0.0026708507670850767,0.0017244587892834258,0.0007833333333333333,0.008,0.002233333333333333,0.0006000000000000001,0.0027445349776113927,0.0017856971456485318,0.0007626923076923076,0.012,0.0024871794871794872,0.34498675747256907,25% Data,3.29,learning_curve,0.25,159126
HybridRecommender,500,34.28,0.002,0.0029191919191919194,0.002958211181392764,0.0017599999999999998,0.008,0.005333333333333333,0.0012000000000000001,0.0031010101010101013,0.0025220257240807413,0.001355,0.008,0.005333333333333333,0.0008,0.004001010101010101,0.0028434530138838655,0.0013827272727272729,0.012,0.0056,0.3764661369655694,50% Data,4.25,learning_curve,0.5,318253
HybridRecommender,500,50.85,0.0016,0.003252754820936639,0.0031194507976328605,0.0022333333333333333,0.008,0.004166666666666666,0.001,0.005252754820936639,0.0035973399908472573,0.002419047619047619,0.01,0.0044523809523809525,0.0006000000000000001,0.0054345730027548205,0.003633790507321552,0.002406168831168831,0.012,0.004585714285714285,0.46038592508513054,75% Data,5.56,learning_curve,0.75,477380
HybridRecommender,500,68.12,0.0016,0.002481283422459893,0.002078816516877695,0.00126,0.008,0.0023,0.0012000000000000001,0.003647950089126559,0.0023305514731615418,0.0012752380952380953,0.012,0.0027857142857142855,0.0012,0.007098641673964486,0.0034151202710382494,0.001522911170356991,0.02,0.0033114902641218427,0.4727960650775634,100% Data,7.59,learning_curve,1.0,636507
